"Unidade da Federa��o";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"Total"
"11 Rond�nia";2454;74480;97586;101752;99423;97044;108205;117542;112105;111205;114797;120605;121505;102361;117047;46395;1544506
"12 Acre";2172;48259;45986;49138;51384;51624;50644;51139;47381;45737;44632;44484;43837;41070;47543;17366;682396
"13 Amazonas";13534;167632;156979;163715;166363;166139;165540;155760;173173;167825;178514;189023;199037;183969;215288;82972;2545463
"14 Roraima";2055;25826;29168;33166;30450;30951;33451;32778;34981;38068;44572;44403;45745;39908;44354;17890;527766
"15 Par�";38038;510530;532350;532735;513484;489843;498990;497395;475794;469790;485805;499670;488503;437972;481192;207058;7159149
"16 Amap�";2757;33170;36211;35305;35795;36668;36851;34629;33300;30855;32932;36306;39053;33154;37665;17131;511782
"17 Tocantins";6411;97651;99589;102200;107673;104739;105597;102492;83481;77898;79788;72722;85112;78458;85708;31712;1321231
"21 Maranh�o";26132;341138;377321;404976;412164;396930;419698;423596;426330;409604;438308;471053;463173;395167;455085;192226;6052901
"22 Piau�";10525;210905;224030;224841;217974;208440;210377;204150;202125;207782;203756;206219;213058;177651;201517;89677;3013027
"23 Cear�";18691;492231;491659;486423;484217;446213;464982;480072;473470;469992;472702;505865;527114;454473;500834;217242;6986180
"24 Rio Grande do Norte";10242;160633;165773;171242;168699;160275;165153;158688;159216;156179;163155;175484;180367;159039;177986;74506;2406637
"25 Para�ba";11287;228186;238607;236423;215939;199426;201053;196398;184749;177902;185419;189449;192463;157569;186318;86314;2887502
"26 Pernambuco";34840;489837;493497;511592;521505;520901;525832;534264;524712;516924;544278;551507;571586;478332;545034;257856;7622497
"27 Alagoas";7881;183364;181432;184222;180939;167352;169430;163201;165894;169515;175479;175333;175302;145644;163981;66491;2475460
"28 Sergipe";4846;96542;89802;90120;89596;86998;85824;87385;94613;92294;91285;93194;95047;84170;95407;39636;1316759
"29 Bahia";22648;846669;877632;889878;882229;850052;812209;830771;830569;808721;806701;830924;852755;704371;767793;334934;11948856
"31 Minas Gerais";72768;1134409;1121246;1147021;1156881;1174154;1189418;1233214;1208590;1186631;1206323;1248311;1286824;1114796;1226206;551586;17258378
"32 Esp�rito Santo";11593;185230;192404;196215;211578;212594;210695;223044;230190;234568;239688;242427;249937;223011;260406;109666;3233246
"33 Rio de Janeiro";29381;641580;642052;666169;653854;625737;623489;641139;673895;636381;659570;705270;729083;651522;741071;326907;9647100
"35 S�o Paulo";99209;2184311;2251926;2322022;2331538;2325558;2311941;2356504;2353584;2365176;2408042;2449180;2512261;2197577;2313004;1079825;33861658
"41 Paran�";45821;736676;764944;785565;752666;761986;751896;749491;757623;792860;829679;867391;883099;734514;775732;345404;11335347
"42 Santa Catarina";24959;373665;389940;389608;400032;409889;418669;436081;451598;469329;477287;492952;511397;432439;471646;210710;6360201
"43 Rio Grande do Sul";44277;719192;729545;722667;710975;723531;738183;764249;759828;750360;753112;747394;769415;664747;719513;312717;10629705
"50 Mato Grosso do Sul";10039;155100;160126;165415;159371;159113;165122;164686;165091;166293;168842;172062;180103;157192;172392;70645;2391592
"51 Mato Grosso";11489;175612;178890;181645;175835;184399;184259;188415;188408;192804;192118;193689;198626;169315;193504;81455;2690463
"52 Goi�s";25901;385623;389271;398591;380899;364031;388867;388359;382235;364719;371570;370785;388602;348973;382209;162429;5493064
"53 Distrito Federal";13012;150101;151767;154494;155622;148632;143063;138261;132486;146803;154491;161945;182433;164429;184386;77037;2258962
"Total";602962;10848552;11109733;11347140;11267085;11103219;11179438;11353703;11325421;11256215;11522845;11857647;12185437;10531823;11562821;5107787;164161828
